_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
warm.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex	-2.83170501329865	-1.757176547254081	FALSE	BOW	3002	no	all	10-10	1000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex	-2.620367575824463	-1.1222884254164676	FALSE	BOW	3002	no	all	10-10	5000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex	-2.023629273788418	-0.5469133921476615	FALSE	BOW	3002	no	all	10-10	FOC	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex	-1.9725962622111903	-1.3280678292645294	FALSE	BOW	1469	selection	all	10-10	1000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex	-1.8057371614317348	-0.8176911379726046	FALSE	BOW	1469	selection	all	10-10	5000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex	-1.572889711073017	-0.1926964198901909	FALSE	BOW	1469	selection	all	10-10	FOC	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex	-0.9236865800525512	0.6368664536840816	FALSE	BOW	1469	weight	all	10-10	1000	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex	-0.7252631905542011	1.0189257188789549	FALSE	BOW	1469	weight	all	10-10	5000	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex	-0.6061986169217286	1.5257044098777668	FALSE	BOW	1469	weight	all	10-10	FOC	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex	-2.5338270642764074	0.5806196800279557	FALSE	BOW	2262	no	lex	10-10	1000	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex	-1.9906191535667683	0.7811935758885891	FALSE	BOW	2262	no	lex	10-10	5000	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex	-1.434535419416232	0.8936373034823849	FALSE	BOW	2262	no	lex	10-10	FOC	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex	-1.6331513042397792	0.7694264354987317	FALSE	BOW	1185	selection	lex	10-10	1000	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex	-1.2864425020288872	0.9323615762567772	FALSE	BOW	1185	selection	lex	10-10	5000	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSlex	-1.064601505167908	1.1920391963594308	FALSE	BOW	1185	selection	lex	10-10	FOC	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIweight.LENGTH1000.SOCPOSlex	-0.6805613088962289	1.3143302466301958	FALSE	BOW	1185	weight	lex	10-10	1000	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSlex	-0.571767427805015	1.422390652666628	FALSE	BOW	1185	weight	lex	10-10	5000	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex	-0.4696531637308387	1.675646675582653	FALSE	BOW	1185	weight	lex	10-10	FOC	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIno.LENGTH1000.SOCPOSlex	1.2560780252405854	-2.687577129711702	FALSE	BOW	1018	no	all	3-3	1000	lex	496	4	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIno.LENGTH5000.SOCPOSlex	1.2139928612546405	-2.0684144536438542	FALSE	BOW	1018	no	all	3-3	5000	lex	496	4	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSlex	1.158079163430721	-1.0234292629597364	FALSE	BOW	1018	no	all	3-3	FOC	lex	496	4	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex	1.5335848310304576	-1.852296871781973	FALSE	BOW	727	selection	all	3-3	1000	lex	496	4	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex	1.4041589995960098	-1.423996382669124	FALSE	BOW	727	selection	all	3-3	5000	lex	496	4	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex	1.3133434499786354	-0.8409148121416642	FALSE	BOW	727	selection	all	3-3	FOC	lex	496	4	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex	1.6680117294468555	-0.21169819909866944	FALSE	BOW	727	weight	all	3-3	1000	lex	496	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex	1.5732176043804134	0.21834056789848472	FALSE	BOW	727	weight	all	3-3	5000	lex	496	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex	1.6930526245201636	0.828420783534677	FALSE	BOW	727	weight	all	3-3	FOC	lex	496	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex	1.8618085230938304	0.06982448380681128	FALSE	BOW	737	no	lex	3-3	1000	lex	486	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex	1.3680175195907158	0.345477202643632	FALSE	BOW	737	no	lex	3-3	5000	lex	486	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex	1.2797979744190222	0.7589308600555928	FALSE	BOW	737	no	lex	3-3	FOC	lex	486	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex	1.3886446426545458	0.08209390967515343	FALSE	BOW	580	selection	lex	3-3	1000	lex	475	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex	1.1770739315533782	0.3537371944198432	FALSE	BOW	580	selection	lex	3-3	5000	lex	475	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex	1.187200866454892	0.7496030256347923	FALSE	BOW	580	selection	lex	3-3	FOC	lex	475	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex	1.4982578469929364	0.543386662955538	FALSE	BOW	580	weight	lex	3-3	1000	lex	475	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex	1.2435879836176402	0.6735819862811425	FALSE	BOW	580	weight	lex	3-3	5000	lex	475	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex	1.3354034898076623	1.0531892754946597	FALSE	BOW	580	weight	lex	3-3	FOC	lex	475	5	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex	-0.5159631417155808	-2.602861641018321	FALSE	BOW	1631	no	all	5-5	1000	lex	496	6	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex	-0.4596274309802544	-1.9232166669873587	FALSE	BOW	1631	no	all	5-5	5000	lex	496	6	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex	-0.21652624208960403	-0.9243689600926412	FALSE	BOW	1631	no	all	5-5	FOC	lex	496	6	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex	-0.01782804768467683	-1.8502613880882797	FALSE	BOW	1037	selection	all	5-5	1000	lex	496	6	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex	-0.01546135746899394	-1.3083543358093832	FALSE	BOW	1037	selection	all	5-5	5000	lex	496	6	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex	0.04398167020335432	-0.6791028213443586	FALSE	BOW	1037	selection	all	5-5	FOC	lex	496	6	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex	0.476792071689935	-0.01453983864035017	FALSE	BOW	1037	weight	all	5-5	1000	lex	496	7	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex	0.457922952028157	0.4809018138323501	FALSE	BOW	1037	weight	all	5-5	5000	lex	496	7	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex	0.5225180970399141	1.1241610688576522	FALSE	BOW	1037	weight	all	5-5	FOC	lex	496	7	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex	-0.4003418880127601	-0.22254725627202152	FALSE	BOW	1222	no	lex	5-5	1000	lex	495	8	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex	-0.11767271663906163	0.308047760920228	FALSE	BOW	1222	no	lex	5-5	5000	lex	495	8	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex	0.02961397445052414	0.6533867050472348	FALSE	BOW	1222	no	lex	5-5	FOC	lex	495	8	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex	0.10308296502708184	0.1968787811798737	FALSE	BOW	831	selection	lex	5-5	1000	lex	489	8	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex	0.13000722595181066	0.46943579796389473	FALSE	BOW	831	selection	lex	5-5	5000	lex	489	8	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex	0.19316531485210897	0.7332630824758312	FALSE	BOW	831	selection	lex	5-5	FOC	lex	489	8	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex	0.4929290450552585	0.8422169059282211	FALSE	BOW	831	weight	lex	5-5	1000	lex	489	7	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex	0.4275308860802741	0.9513471764307015	FALSE	BOW	831	weight	lex	5-5	5000	lex	489	7	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex	0.4597967894334245	1.2190468023345102	FALSE	BOW	831	weight	lex	5-5	FOC	lex	489	7	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex
